→,二つ名(他称),小凪葉らん,スキップ博士,ピュリファイア,小凪葉まゆ,ユアンスウ肆式,九十九堂冷泉分胤,カワイイスパイス,黑入鹿イオド,マヤーレI,ツーズー,ララモイ,ツィール,桜之宮なこ,紅恭也,砂原海白花,月紀寺あやめ,ダスト・ソードランページ,ゲイリー・スー,ルノフェット
小凪葉らん,最強カワイイ男の娘,皆と仲良くしたい,頭脳担当。元気でいてほしい,趣味の否定はしないが、節度は守って欲しい,気の置けない友達。カワイイ談義ができる人。,体が強くないんだから無理はしないでね,目指す分野が違うけどかっこいいなあ,イオドくんの保護者。案外顔が広い。,BL同人の件で知り合い、男の娘仲間として気にかけている。,庇護欲。子猫みたいで見守っていたい,武人。敬意を持っている。,子供かと思って声をかけたら、ぼくより年上で驚いた,常に露出度が高いので目のやり場に困る。視線がいやらしい,飢えないか気にかけている。割と元気そうにしていて何より,ピュアな子。健全に育ってほしい。,初々しい子。あまり絡みはない。,まゆと一緒に居ると、すごくねっとりした目線で見つめてくる。ちょっとこわい。,先代。感謝してもしきれない人。,先代の付き人。先代のことを悪く言わないでほしい,可愛い後輩くん。夜遊びは程々にしようね。
スキップ・センサード博士,善性の狂科学者,最重要研究対象。→あっちのほうが長寿なのに孫を見るような感情を抱いている,賢くなりたい。世界を深く知りたい。,肌は一切見せていないのに性別を見抜かれた。何者だ,リアクション芸人。イタズラを仕込むと100%引っかかる,実験台。そして向上心のある執事。,ビジネスパートナー。実用的で良い男だ,地頭が良い。エージェントだけど研究者向きだと思う,カワイイスパイスさんの弟子だね。よく学んでくれ,研究したいけど実験を嫌がる。たまに毛をサンプルにしている,脳筋。割と会話が通じないので、ララモイを呼んでほしい,エルフ氏族の話が通じる方。いつも苦労をかけている,影人か。別のバースの地球人とも言うね。是非とも調べさせてくれ,「我々のためによく働いてくれたまえ。給金は弾むぞ」,期待の若手。まあそのトシじゃそれが普通だ。マヤーレあたりがおかしいだけだ,期待の若手。サイバネの調整でラボに来るので、割と顔を合わせている。,期待の若手三人の中で一番クレバー。まあ流石に私の話を理解するのはまだまだ先だろう,かつてのパートナー。今はお互い好きなことやってんだろ？　なら万々歳だ,ダストに振り回されている奴。らんにとっての私みてェなもんだ。運命を受け入れろ,らんの友達。あいつにとって貴重なんだよそういうの。仲良くしてくれ
ピュリファイア,浄火の穢れ嫌いレズビアン,その強さだけは認めてあげますわ。,マスクの中身に興味がありますの。,女の子を落とすためにキレイになりたい,ガードが硬い。簡単に落ちてくれませんの,博士の護衛。博士の受ける忠義が羨ましい,興味ないね,靴をお舐めいたしますわ。今日も激しくしてくださいね。,師匠とのやりとりに気づかれていないかヒヤヒヤしている,幼い子も良いですわ。手を出したらランに怒られそうですね。,筋骨隆々ですわね。お話してみたいですわ。,一度襲ったらポテトマッシャーで反撃されましたの……,コツを掴むまで時間がかかりましたが、弱いところは大体わかりましたわ。,ストライクゾーンだけどスパイスお姉さまに睨まれそうなのでやめますわ。,貧相な子。私とは格が違う。実直なところは評価する。,紅様を想っておられるので、手は出さない。ストライクゾーンではある,私が嫉妬するほどの体つき。触ったらゴミを見るような目で見られた。ごめん,負け犬。自分を取り戻してほしい,人を見る目のある男。広い視野を持てば大物になれる,毎晩女性を食い散らかすクズ。でもやってることは私も同じですわ。人のこと言えませんわね
小凪葉まゆ,カワイイのヤバい求道者,死ぬほどカワイイ。飼えるものなら飼いたい。,休んでいるところを見たことがない。体を労ってほしい,油断しているとガンガン来る。少し苦手,もっと可愛くなりたい,友人。実験の合間に連れ出して地球を観光したい,友人。諌めてくれるので、安心して暴走できる,端末ログに私の書いた拙い文が残っていた。恥ずかしい,死ぬほどカワイイ。同人化が秒でバレたので聡い子ではある。,死ぬほどカワイイ。一生尻尾と髪をわしゃわしゃしていたい,私も鍛えたらあんな感じになるのかな？,ポテサラが犯罪的に美味いと褒めたら仲良くなった,仲良くなるにつれ、こなした汚れ仕事の量が半端ではないとわかり、格の違いを感じている,九十九堂さんに微笑んだらダッシュして仕事し始める、という場面を目撃した。関係性が気になる,若い。一歳しか違わないはずなのに、私と違ってすごいプラトニックだ,紅くんを襲ったりしないの？　恥ずかしい？　そっかあ。がんばって告ろ？,さてはおぬし、関係性オタクだな？　小説書かない？　良いものが出来ると思うんだ。,らんの師匠ってことになるのかな？　婿に貰っていいですか？,今度声かけてきたら玉を潰す。らんとの間に挟まるやつ滅ぶべし。,親友。弟分めいたポジション
ユアンスウ肆式,蹴撃改造キャスト助手,博士の実験台仲間,敬愛している。できれば実験の強度を落としてほしい,博士に手を出したら容赦しない,たまにとんでもないことをしでかす友人。,コーヒーの腕前を上げたい,重サイバネですか。興味があります,博士と対等に話ができる数少ない人物。尊敬,可能性の塊。良い師匠を持ったものだ。,微笑ましく、危なっかしい。実験器具には触らせない。,強者のメンタリズムに興味がある,見た目に反して中身は文化的。侮れない,何事も、当事者で解決できるなら私は眺めますよ。出てくるのはどうしようもなくなったときだけです,一般人にしては佇まいが上品すぎ、元の世界では良家のご子息だったのではと疑っている。,博士のおもちゃ。裏でコンプラは守るように釘を差している。,博士のおもちゃ。これでも元の世界での立場よりマシと聞いて震えている,分かりますよ、受難体質。私はそういう星の下に生まれてしまったのですが、貴方はまだ……どうにかできる……,博士の元パートナー。心の傷はまだ治ってないみたい。博士にはほっとけと言われた,ダスト様の付き人。裏工作が凄腕。,らん様の親友。人懐っこい。
九十九堂冷泉分胤,サイボーグ仕事人,上忍頭よりもエグいオーラを纏っている。味方にしたい,協力関係。ビジネスパートナー。,近寄ると火傷しそうなので距離をおいている,何あのコミュニケーション能力。化け物かよ,全身ロボ！？　すげえ！　意識あるの！？　エモ……,休暇がほしい,通りがかったヒーローショーで見たことがある。演技がうまい。,初見で泣かれそうになったのでお菓子を渡した。子供は苦手だ,すり寄ってきたと思えば興味を失う。子供というより小動物,懐かれているのは分かっているが、期待に応えられる気がしない,ツーズーに絡まれているときに、側でニコニコしているのが本当に怖い,中東風の衣装に馴染みがなく、やはり目のやり場に困っている。,天敵。ヒューマンだった頃のえげつない彼女を知っており、できれば会いたくない。,弟分だと思いたいが、避けられている気もする。ナンデ？,違う技術によるサイバネと聞いて興味があるが、近寄ったら事案なので近づけない,正直滅茶苦茶性癖だが、俺は社会人なので社会性を守る。,飯が旨い男。守護輝士を捨てて、一から勉強し直してこれだもんな、恐れ入る,同類……じゃねえな。お前からはギークの匂いを感じない。噛み合わない,正直、桜之宮の助けがなければ男だと見抜けなかった
カワイイスパイス,変身魔法使い貴腐人,弟子のイオドと絡ませたい,実は彼女の論文を読んでいて、感銘している,誘惑しただけで同人誌を買ってきてくれるいい人,良質な文章を書いてくれる。推し作家。尊敬。,博士のよく出来た助手。コーヒーが美味しい,ヒーローショーで一緒に悪役をやれる素質があると気づいた。,ショタ同人はどこだ,そのうち我慢できず襲ってしまうかも,マヤーレ×イオドのCPで妄想している。,「バンブー魔法？　なにそれ面白そう！」,芋の扱いだけは勝てる気がしない。オラクルでは忘れ去られかけた種族の差か,肌のツヤとか頑張ってる。当然きれいな人は努力してるよね。,彼女の経済事情をよく知っている。たまにご飯をごちそうしている。,ショタかわ！　まあ私にはいおどが居るから？　手を出さないけど？,健気かわいい。無限に甘やかしたくなる妹分（予定）,まゆちゃんと同じオーラを感じる。性格は真逆のはずなのにね,ビジネス上の関係。内秘の話をするときの拠点を貸してくれる,チャラい奴。悪いことはしない人。,合法ショタだ！　触って良い？　なでなでなでなで！　あー生き返る！！！
黑入鹿イオド,カワイイスパイスの人たらしな婿,BL同人の件以降、少し意識している,あたまのいいすごいひと,たまに師匠とプライベートエリアにいる人。興味はある,師匠が推してるってことはいい人に違いない,師匠についていったら頭をなでてくれる。やさしい,怪人っぽくて怖かったけど中身は温かい,大好きなお師匠様！,みんなやさしくてたのしい！！！,近くにいたら心がポカポカする。もっとそばに居たい,見かけるだけで怖くて泣きそうになる。でも笑ってくれる。,見た目は子供でも立ち居振る舞いは大人。なんとなく襟を正す気分になる,甘い香りがする。なんとなく引き寄せられる。,お師匠様のご飯を食べに来るおねえちゃん。同性の友人ってやっぱり貴重なんだろな,「君には可能性があるから（肩ポン）」ってどういう意味だろう？,よしよし撫でてくれる。かわいいと思われるのは嬉しい,目が合うと隠れる。大抵はこちらがそうする側なので、奇妙に思う,らん兄ちゃんが尊敬してる人。刀さばきが一流,大人のお兄さん。喧嘩が強そう,ある意味で完成された男の娘。彼と比べるとどうしても野暮っぽくなっちゃう
マヤーレI,守護輝士の天真爛漫な幻創種,大好き！！！,こわいけど、らんが尊敬しているので悪い人ではなさそう,近寄ったら体をなでてくれる優しいお姉さん,いつもらんに怒られてる忙しいお姉さん。,装甲を剥ごうとしたら怒られた。甘いものをくれる。,大人の気迫みたいなものがある。たまにハッキングを教えてくれる,イオドちゃんの師匠。あんなレディになりたい,かわいい。たまにかっこいい。でも私の方がつよい！,この世界はおもしろい！,体の大きいお姉ちゃん。たまによじ登る,おいもの料理がとっても上手なひと！,影が人間になったみたいなかわいいおねえさん！,「あ゛ー」「あの、私の後ろで何を？」「おしりのファンから出てくる風がきもちい」「めっ！」,「同じくらいの子だ！　遊ぼ！」「俺はもう17だって前も言っただろ！」,「同じくらいの子だ！　遊ぼ！」「かくれんぼする？」「分解ごっこ！」「ちょっ、それ私の替えの腕！」,「なんであやめだけマヤーレちゃんを制御できるんだよ」「私は落ち着いてるからでしょ」「ぐぬぬ」,「んんんー？　この人から、らんお兄ちゃんの匂いを感じるぞ？」「継承元だからね」「ってことは私は孫？」,ハッキング技術でわからせた男。何度でもわからせてあげる！,らん兄ちゃんと遺伝子的には同じらしい。性格ぜんぜん違う「マヤーレちゃんもそうだぞ」
ツーズー,恐るべきバンブーエルフの騎兵隊長,あれは人の身だが、戦力は戦略兵器に近い。よく心を保てていると思う,操る言葉が難解で理解できない。悪意がないのはわかる。,アタシを抱く気か？　だったらもっとソウルを強くしてきな,らんと一緒にいてやりな。あいつは強すぎて、下手すると孤独になっちまう,あの陰のある雰囲気はなんだ？　奥深さのある人格を感じる,良い男だ。契りたい。,賢き女。アタシとは進む道が違うが、名を覚えるに値する,子は宝だ。だから見られるだけで涙ぐまれるのは不本意なのだが、どうしたもんかね,子は宝だ。だが、どちらかというとこいつは子猫だ。こら！竹槍で遊ぶのやめろ！,アタシは強さを追求する。皆を守り、敵を調伏する強さをな。,大親友。以心伝心。戦場のパートナー。,正面から戦わぬ軟弱者だが、有力者ではある。恋について相談したい,友人のために簡単に命を捨てられる強者。……悪いとは思っている。,弟子。まだ出来損ないだが、伸び代は悪くない。しごき甲斐がある,弟子。恭也が成長すると、すぐに追いつく。相性抜群だな、こいつら,弟子。おっぱいがアタシと同じくらいでかい。前衛だったらマッチョにしてやれたのに,前を向いていそうで、その実後ろばっか向いてる奴。乗り越えてみせろよ。アタシだってハオズーがさ……,バンブーエルフ氏族の英雄が、好色の視線に気づかないと思ったか「すみません」,アタシはただネクスを斬首しただけだが、子供には刺激が強かったかね
